energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
87.29069,28.0734,0.048934,0.40193,0.18883,0.5907600000000001,0.3607,0.0142
93.31374,28.0662,0.042642,0.32765,0.18167,0.50932,0.2938,0.01329
99.75239,28.0596,0.037161,0.2671,0.17505,0.44215,0.2393,0.01243
106.6353,28.0536,0.032385000000000004,0.21775,0.16892000000000001,0.38666999999999996,0.1949,0.01163
113.9931,28.0481,0.028224000000000003,0.17752,0.16321,0.34073000000000003,0.1588,0.010879999999999999
121.8587,28.0432,0.024598,0.14473,0.15788,0.30261,0.1293,0.01017
130.2669,28.0387,0.021438,0.118,0.15288,0.27088,0.1054,0.009518
139.2553,28.0347,0.018685,0.096207,0.14817,0.24438000000000001,0.08581,0.008903
148.864,28.0311,0.016286000000000002,0.078442,0.14371,0.22215,0.0699,0.008329000000000001
159.1356,28.0278,0.014196,0.063959,0.13947,0.20343,0.056929999999999994,0.007790999999999999
170.1159,28.0248,0.012374,0.052152,0.13543,0.18758,0.04637,0.007287999999999999
181.8539,28.0222,0.010786,0.042525,0.13155999999999998,0.17407999999999998,0.03777,0.006818
194.4018,28.0198,0.009401999999999999,0.034677,0.12784,0.16252,0.03077,0.006378
207.8156,28.0177,0.008196,0.028276999999999997,0.12425,0.15253,0.02506,0.005966
222.1548,28.0158,0.007144800000000001,0.023059,0.12077,0.14382999999999999,0.02041,0.005581
237.4835,28.0141,0.0062286,0.018805000000000002,0.1174,0.1362,0.016630000000000002,0.005221
253.8699,28.0125,0.00543,0.015336,0.11413,0.12947,0.01354,0.004884
271.3869,28.0112,0.0047339,0.012506999999999999,0.11093,0.12344000000000001,0.01103,0.004569
290.1126,28.0099,0.0041272,0.0102,0.10782,0.11802,0.008985,0.004274
310.1304,28.0088,0.0035983000000000005,0.008319,0.10477,0.11309000000000001,0.007318000000000001,0.003998
331.5294,28.0079,0.0031373,0.006784899999999999,0.10178999999999999,0.10857,0.005961,0.00374
354.4049,28.007,0.0027354,0.0055339,0.098866,0.1044,0.004855,0.003498
378.8588,28.0062,0.002385,0.0045136,0.096002,0.10052,0.003954999999999999,0.003273
405.0001,28.0055,0.0020796,0.0036816,0.093194,0.096876,0.003221,0.003061
432.9451,28.0049,0.0018133,0.003003,0.090439,0.093442,0.002624,0.0028640000000000002
